Point_A,Point_B,Height_Difference,Distance,Num_Across,Difference_Between_BF,Date_Measured,Name_File,Source,File
4751,819U,-23.75914,1305,42,-1,105,938.RAW,luba,1001_4751-509U.rez
819U,1100,-28.54572,3300,147,-1.41,105,938.RAW,luba,1001_4751-509U.rez
1100,509U,-5.41008,1084,38,-1.46,405,938.RAW,luba,1001_4751-509U.rez
4756,3138N,-66.64066,752,31,-0.1,686,2020,1998-r1,1002_4756-737A.rez
3138N,4755,-27.40198,550,19,-0.8,686,2020,1998-r1,1002_4756-737A.rez
4755,4754,-53.21809,1882,37,0.4,686,2020,1998-r1,1002_4756-737A.rez
4754,47541,-31.52717,1002,24,0.1,686,2020,1998-r1,1002_4756-737A.rez
47541,738A,-4.32942,956,20,0.6,786,2020,1998-r1,1002_4756-737A.rez
738A,4753,-33.18433,1816,37,1.5,786,2020,1998-r1,1002_4756-737A.rez
4753,A,-19.75549,982,19,0.9,786,2020,1998-r1,1002_4756-737A.rez
A,737A,-2.23825,1022,18,0.1,786,2020,1998-r1,1002_4756-737A.rez
4764,4765,51.61,1220,28,1.84,685,1412,1998-r2,1004_4764-4765.rez
4790,4791,3.59184,1211,35,-0.8,790,870,1998-r2,1007_4790-510U.rez
4791,510U,22.6106,1845,45,-0.03,790,871,1998-r2,1007_4790-510U.rez
4790,510U,26.20246,3190,92,0.35,405,938.RAW,luba,1008_4790-510U.rez
4820,6011,-0.92666,1265,23,0.3,101,4820-6011.raw,3728,1014_4820-6011.rez
4820,60111,11.55686,1710,35,-0.35,219,4820-6011_1.raw,3728,1015_4820-60111.rez
4830,751A,30.05814,621,16,1.2,891,2073,1998-r1,1016_4830-751A2.rez
751A,751A2,-30.39722,714,17,0,886,2016,1998-r1,1016_4830-751A2.rez
4830,751A2,-0.34006,116,2,0,886,2016,1998-r1,1017_4830-751A2.rez
4830,752A,-3.47454,1561,27,-0.5,886,2016,1998-r1,1018_4830-757U.rez
752A,752A1,-10.28103,1236,27,1.6,886,2016,1998-r1,1018_4830-757U.rez
752A1,4831,15.87788,775,20,0.5,886,2016,1998-r1,1018_4830-757U.rez
4831,4832,-11.73971,1165,25,1.7,886,2016,1998-r1,1018_4830-757U.rez
4832,753A,-12.27127,1194,30,0.9,886,2016,1998-r1,1018_4830-757U.rez
