from_Point,to_Point,dH,dist_m,num_stations,BF_diff_mm
1295U,1294U,10.17355,779,23,-0.7
1294U,1293U,34.57542,949,43,1.69
1293U,1292U,2.85632,914,36,0.16
1292U,1545JAD,-16.6002,744,22,0.84
1545JAD,1291U,36.2412,1218,40,0.78
1291U,1290U,58.58868,1340,60,1.58
1290U,1289U,63.26857,921,58,0.82
1289U,1288U,50.37076,740,45,-0.01
1288U,1544JAD,-12.1728,925,29,1.97
1544JAD,1287U,-25.34477,946,36,1.12
1287U,1286U,50.59284,949,48,-1.64
1286U,1285U,32.16397,757,34,2.5
1285U,1284U,-47.55293,702,44,0.66
1284U,1283U,-46.85732,707,42,-0.98
1283U,942U,25.86588,513,44,1.04
942U,1282U,-37.95649,502,42,1.42
1282U,1281U,-36.72235,606,35,-0.34
1281U,4657,-1.51898,660,20,0.83
4657,1280U,19.53741,1485,32,1.56
1280U,1279U,17.48638,1424,32,1.7
1279U,1543JAD,21.89814,1237,27,-1.42
1543JAD,1278U,55.43438,704,50,1.6
1278U,1277U,54.22998,663,51,0.99
1277U,1276U,20.11816,853,22,-0.81
1276U,1275U,-9.45646,726,16,0.17
1275U,1274U,-14.09696,867,17,0.29
1274U,1273U,8.90093,826,26,-0.08
1273U,1542JAD,21.87793,718,25,-1.06
1542JAD,1272U,53.19198,747,55,1.15
1272U,1271U,-62.91402,629,62,2.36
1271U,1270U,-29.8455,839,34,1.36
1270U,1269U,24.87492,679,42,1.1
1269U,1268U,-26.39329,674,30,0.82
1268U,1541JAD,-5.03942,604,28,0.45
1541JAD,1267U,41.98205,967,46,-0.6
1267U,1266U,20.45235,886,34,2.22
1266U,1265U,1.08746,646,34,0.9
1265U,1264U,-12.4306,798,33,-1.55
1264U,1263U,-49.89415,587,59,0.72
1263U,1540JAD,-24.241,683,31,0.4
1540JAD,1262U,-46.61741,611,51,0.72
1262U,1261U,-27.78757,580,30,0.78
1261U,1260U,-1.23596,970,20,0.54
1260U,1259U,22.54446,679,22,-0.04
1259U,1258U,34.46954,609,33,0.95
1258U,1257U,25.93008,718,28,0.39
1257U,1256U,30.43638,582,31,-0.33
1256U,1539JAD,18.28405,478,28,0.36
1539JAD,1255U,-30.94384,595,32,0.98
1255U,1254U,29.59975,621,53,0.74
1254U,1253U,47.79574,638,44,-0.08
1253U,1252U,35.00512,537,35,0.64
1252U,1251U,-3.21283,931,31,-0.48
1251U,1538JAD,-41.23516,779,41,-1.36
1538JAD,1250U,24.80639,602,26,0.06
1250U,1249U,29.28978,633,27,1.78
1249U,1248U,24.23124,500,25,0.02
1248U,1247U,11.31632,756,24,1.34
1247U,1246U,-30.22806,824,52,-0.32
1246U,1245U,-35.89235,805,37,0.68
1245U,1244U,-21.60612,410,23,-1.11
1244U,1243U,-11.35616,784,29,-0.55
1243U,1242U,10.58561,823,25,-0.76
1242U,1241U,29.54014,603,32,-0.78
